price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size
10500000,Petrol,Automatic,Toyota,2014,Local Used,196609.0,1800.0
7800000,Petrol,Automatic,Honda,2007,Foreign Used,241397.0,3500.0
5250000,Petrol,Automatic,Toyota,2007,Local Used,241692.0,3500.0
4015200,Petrol,Automatic,Toyota,2005,Local Used,323924.0,2400.0
22050000,Petrol,Automatic,Toyota,2019,Foreign Used,412673.0,2500.0
11812500,Petrol,Automatic,Toyota,2009,Local Used,109056.0,3500.0
8925000,Petrol,Manual,Mazda,2002,Foreign Used,189140.0,2000.0
12375000,Petrol,Automatic,Lexus,2011,Local Used,228207.0,3500.0
6930000,Petrol,Automatic,Toyota,2009,Local Used,124986.0,2400.0
17160000,Petrol,Automatic,Toyota,2011,Foreign Used,194617.0,3500.0
9880000,Petrol,Automatic,Lexus,2007,Local Used,155188.0,3500.0
15750000,Petrol,Automatic,Kia,2012,Foreign Used,671457.0,1000.0
17010000,Petrol,Automatic,Lexus,2011,Local Used,244296.0,3500.0
8478750,Petrol,Automatic,Lexus,2009,Local Used,178266.0,3500.0
5880000,Petrol,Automatic,Toyota,2008,Local Used,282810.0,2400.0
4935000,Petrol,Automatic,Lexus,2004,Local Used,152821.0,3300.0
5460000,Petrol,Automatic,Toyota,2004,Local Used,396023.0,3300.0
5775000,Petrol,Automatic,Toyota,2007,Local Used,196518.0,3500.0
6825000,Petrol,Automatic,Toyota,2010,Local Used,165404.0,2000.0
8840000,Petrol,Automatic,Hyundai,2013,Local Used,113223.0,1800.0
13387500,Petrol,Automatic,Honda,2014,Foreign Used,313892.0,2400.0
7812000,Petrol,Automatic,Toyota,2005,Foreign Used,299999.0,1800.0
7812000,Petrol,Automatic,Toyota,2005,Foreign Used,299999.0,1800.0
18375000,Petrol,Automatic,Lexus,2014,Local Used,157359.0,3500.0
6300000,Petrol,Automatic,Toyota,2007,Local Used,194725.0,1800.0
8320000,Petrol,Automatic,Toyota,2010,Local Used,99234.0,2500.0
5040000,Petrol,Automatic,Toyota,2007,Local Used,211056.0,3500.0
12375000,Petrol,Automatic,Lexus,2009,Local Used,181146.0,3500.0
5250000,Petrol,Automatic,Ford,2004,Foreign Used,176053.0,4600.0
5512000,Petrol,Automatic,Pontiac,2005,Local Used,210620.0,1800.0
4725000,Petrol,Automatic,Toyota,2006,Local Used,98892.0,3500.0
10500000,Petrol,Automatic,Toyota,2012,Local Used,125485.0,2500.0
7540000,Petrol,Automatic,Toyota,2008,Local Used,115279.0,2800.0
23100000,Petrol,Automatic,Honda,2018,Local Used,100137.0,2400.0
6720000,Petrol,Automatic,Toyota,2011,Local Used,396565.0,2500.0
5985000,Petrol,Automatic,Toyota,2009,Local Used,163998.0,3500.0
23992500,Petrol,Automatic,Toyota,2021,Foreign Used,54820.0,2500.0
6825000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,2280.0,3500.0
7800000,Petrol,Automatic,Pontiac,2009,Local Used,168254.0,2400.0
24150000,Petrol,Automatic,Mercedes-Benz,2018,Foreign Used,63410.0,2000.0
22050000,Petrol,CVT,Honda,2019,Local Used,153024.0,1500.0
5720000,Petrol,Automatic,Toyota,2005,Local Used,92846.0,3500.0
8840000,Petrol,Automatic,Lexus,2004,Local Used,125860.0,3300.0
6968000,Petrol,Automatic,Toyota,2007,Local Used,202407.0,3500.0
6300000,Petrol,Automatic,Mercedes-Benz,2009,Local Used,298184.0,3000.0
4725000,Petrol,Automatic,Toyota,2007,Local Used,90889.0,3500.0
7350000,Petrol,Automatic,Land Rover,2009,Local Used,144666.0,4400.0
9450000,Petrol,Automatic,Kia,2015,Foreign Used,315285.0,1800.0
21000000,Petrol,Automatic,Jeep,2008,Local Used,268111.0,3800.0
6825000,Petrol,Automatic,Mercedes-Benz,2009,Local Used,188689.0,3000.0
9817500,Petrol,Automatic,Toyota,2010,Foreign Used,275118.0,1800.0
19760000,Petrol,Automatic,Toyota,2012,Foreign Used,231778.0,3500.0
11235000,Petrol,Automatic,Toyota,2010,Local Used,90966.0,3500.0
13440000,Petrol,Automatic,Mercedes-Benz,2015,Local Used,58082.0,2000.0
8400000,Petrol,Automatic,Toyota,2013,Local Used,143351.0,1800.0
7822500,Petrol,Automatic,Toyota,2010,Local Used,221364.0,2500.0
7875000,Petrol,Automatic,Toyota,2005,Foreign Used,273985.0,2400.0
17850000,Petrol,CVT,Kia,2023,Local Used,15368.0,1600.0
