price,fuel_type,gear_type,Make,Year_of_manufacture,Condition,Mileage,Engine_size,Selling_Condition,Bought_Condition
8212500,Petrol,Automatic,Lexus,2006,Local Used,195844.0,3000.0,Registered,Registered
16800000,Petrol,Automatic,Toyota,2010,Foreign Used,78868.0,3500.0,Imported,Imported
10500000,Petrol,Automatic,Hyundai,2011,Foreign Used,136404.0,2400.0,Imported,Imported
16875000,Petrol,Automatic,Toyota,2015,Foreign Used,144017.0,1800.0,Imported,Imported
14248000,Petrol,Automatic,Toyota,2009,Local Used,180487.0,3500.0,Registered,Registered
5650000,Petrol,Automatic,Toyota,2006,Local Used,156241.0,1800.0,Registered,Registered
7350000,Petrol,Automatic,Hyundai,2013,Local Used,100146.0,1800.0,Registered,Imported
6300000,Petrol,Automatic,Toyota,2006,Local Used,154275.0,4700.0,Registered,Imported
7087500,Petrol,Automatic,Toyota,2009,Local Used,258979.0,2400.0,Registered,Registered
6468000,Petrol,Automatic,Land Rover,2007,Local Used,118843.0,4000.0,Registered,Imported
5985000,Petrol,Automatic,Mercedes-Benz,2010,Local Used,141953.0,3000.0,Registered,Imported
17680000,Petrol,Automatic,Lexus,2010,Local Used,90814.0,3500.0,Registered,Imported
31500000,Petrol,Manual,Jeep,2010,Local Used,308193.0,3800.0,Registered,Imported
17325000,Petrol,Automatic,Kia,2014,Local Used,107551.0,3800.0,Registered,Brand new
5200000,Petrol,Automatic,Toyota,2005,Local Used,251187.0,3300.0,Registered,Imported
26775000,Petrol,Automatic,Toyota,2014,Foreign Used,216507.0,3500.0,Imported,Imported
25200000,Petrol,Automatic,Hyundai,2019,Local Used,75935.0,2000.0,Registered,Registered
7696000,Petrol,Automatic,Toyota,2007,Local Used,271644.0,3300.0,Registered,Registered
19320000,Petrol,Automatic,Toyota,2014,Foreign Used,128212.0,2700.0,Imported,Imported
18200000,Petrol,Automatic,Mercedes-Benz,2010,Foreign Used,127374.0,3500.0,Imported,Imported
6300000,Petrol,Automatic,Toyota,2009,Local Used,150601.0,2400.0,Registered,Imported
4200000,Petrol,Automatic,Toyota,2003,Local Used,372647.0,1800.0,Registered,Imported
5775000,Petrol,Automatic,Toyota,2006,Local Used,299999.0,1800.0,Registered,Registered
4788000,Petrol,Automatic,Toyota,2007,Local Used,143043.0,1800.0,Registered,Imported
5880000,Petrol,Automatic,Toyota,2010,Local Used,341169.0,1800.0,Registered,Brand new
14700000,Petrol,Automatic,Hyundai,2015,Local Used,147809.0,2000.0,Registered,Imported
5250000,Petrol,Automatic,Toyota,2006,Local Used,299999.0,1800.0,Registered,Registered
5250000,Petrol,Automatic,Toyota,2006,Local Used,299999.0,1800.0,Registered,Registered
11000000,Petrol,Automatic,Toyota,2012,Local Used,182405.0,2500.0,Registered,Imported
8320000,Petrol,Automatic,Mercedes-Benz,2008,Local Used,291509.0,3000.0,Registered,Registered
21840000,Petrol,Automatic,Honda,2018,Foreign Used,106243.0,2000.0,Imported,Imported
6195000,Petrol,Automatic,Ford,2011,Local Used,215439.0,3500.0,Registered,Registered
