price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 5,250,000",Petrol,Automatic,Toyota,Sienna,2007,Gold,Local Used,322952,3300,Registered,Registered,Toyota Sienna 2007 Gold,,,,,,LAGOS
"₦ 50,400,000",Petrol,Manual,Mitsubishi,L200,2023,Gray,Local Used,564,2700,Registered,Brand new,Mitsubishi L200 2023 Gray,,,,,,
"₦ 11,340,000",Petrol,Automatic,Hyundai,Ix35,2011,White,Local Used,216898,2000,Registered,Registered,Hyundai Ix35 2011 White,,,,,,Lagos
"₦ 6,825,000",Petrol,Automatic,Lexus,IS,2006,Silver,Local Used,181478,2500,Registered,Imported,Lexus IS 2006 Silver,,,,,,LAGOS
"₦ 7,904,000",Petrol,Automatic,Toyota,Camry,2009,White,Local Used,359705,3500,Registered,Registered,Toyota Camry 2009 White,,,,,,LAGOS
"₦ 14,700,000",Petrol,Automatic,Toyota,Camry,2015,Gray,Foreign Used,91482,2500,Imported,Imported,Toyota Camry 2015 Gray,,,,,,
"₦ 5,775,000",Petrol,Automatic,Toyota,Camry,2007,Blue,Local Used,483136,2400,Registered,Registered,Toyota Camry 2007 Blue,,,,,,LAGOS
"₦ 3,675,000",Petrol,Automatic,Toyota,Camry,2003,Gray,Local Used,233707,,Registered,Registered,Toyota Camry 2003 Gray,,,,,,LAGOS
"₦ 15,225,000",Petrol,Automatic,Toyota,RAV4,2015,Orange,Local Used,165908,2500,Registered,Imported,Toyota RAV4 2015 Orange,XLE 4dr SUV AWD (2.5L 4cyl 6A),All Wheel,5,4,,Abuja
"₦ 9,975,000",Petrol,Automatic,Toyota,Camry,2013,Black,Local Used,100234,3000,Registered,Imported,Toyota Camry 2013 Black,,,,,,Lagos
"₦ 6,760,000",Petrol,Automatic,Acura,MDX,2007,Black,Local Used,148213,3700,Registered,Registered,Acura MDX 2007 Black,,,,,,
"₦ 4,410,000",Petrol,Automatic,Toyota,Avalon,2005,Gold,Local Used,366018,3500,Registered,Registered,Toyota Avalon 2005 Gold,,,,,,ABUJA
"₦ 24,150,000",Petrol,Automatic,Mercedes-Benz,C300,2016,Blue,Foreign Used,154562,2000,Imported,Imported,Mercedes-Benz C300 2016 Blue,,,,,,
"₦ 9,256,000",Petrol,Automatic,Lexus,RX 330,2005,Silver,Local Used,9845,3300,Registered,Registered,Lexus RX 330 2005 Silver,,,,,,Lagos
"₦ 4,580,000",Petrol,Automatic,Toyota,Camry,2004,Silver,Local Used,335524,2400,Registered,Imported,Toyota Camry 2004 Silver,,,,,,
"₦ 4,200,000",Petrol,Automatic,Toyota,Camry,2005,Blue,Local Used,152341,2400,Registered,Registered,Toyota Camry 2005 Blue,,,,,,
"₦ 5,565,000",Petrol,Automatic,Toyota,Camry,2007,Green,Local Used,143907,2400,Registered,Registered,Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2007 Green,XLE 4dr Sedan (2.4L 4cyl 5A),Front,5,4,158,Abuja State
