price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Trim,Drivetrain,Seats,Number of Cylinders,Horse Power,Registered city
"₦ 11,970,000",Petrol,Automatic,Hyundai,Sonata,2012,Silver,Foreign Used,203293,2400,Imported,Imported,Hyundai Sonata 2012 Silver,,,,,,
"₦ 31,200,000",Petrol,Automatic,Lexus,GX,2012,Black,Local Used,121276,4600,Registered,Registered,Lexus GX 2012 Black,,,,,,ABUJA
"₦ 40,950,000",Petrol,Automatic,Lexus,GX,2017,Black,Local Used,145178,,Registered,Imported,Lexus GX 2017 Black,,,,,,LAGOS
"₦ 12,495,000",Petrol,Automatic,Honda,Pilot,2011,Blue,Foreign Used,306802,3300,Imported,Imported,Honda Pilot 2011 Blue,,,,,,
"₦ 63,000,000",Petrol,Automatic,Toyota,Hilux,2021,White,Foreign Used,11679,2700,Imported,Imported,Toyota Hilux 2021 White,,,,,,
"₦ 29,541,750",Petrol,Automatic,Lexus,GX,2013,Black,Local Used,80400,4600,Registered,Registered,Lexus GX 2013 Black,,,,,,
"₦ 8,320,000",Petrol,Automatic,Mercedes-Benz,C300,2008,Black,Local Used,166325,3000,Registered,Imported,Mercedes-Benz C300 2008 Black,,,,,,
"₦ 8,840,000",Petrol,Automatic,Mercedes-Benz,C300,2008,Purple,Local Used,201870,3000,Registered,Registered,Mercedes-Benz C300 2008 Purple,,,,,,Abuja
"₦ 7,280,000",Petrol,Automatic,Toyota,Camry,2007,Black,Local Used,282899,2400,Registered,Registered,Toyota Camry 2007 Black,,,,,,BAYELSA
"₦ 27,040,000",Petrol,Automatic,Toyota,Highlander,2016,Black,Local Used,127168,3500,Registered,Registered,Toyota Highlander 2016 Black,,,,,,
"₦ 11,440,000",Petrol,Automatic,Lexus,ES,2011,Black,Local Used,228207,3500,Registered,Registered,Lexus ES 2011 Black,,,,,,
"₦ 45,085,714",Petrol,Automatic,Mercedes-Benz,GLE-Class,2016,Beige,Foreign Used,214735,3500,Imported,Imported,Mercedes-Benz GLE-Class 2016 Beige,,,,,,
"₦ 64,480,000",Petrol,Automatic,Toyota,Highlander,2020,Black,Foreign Used,70690,3500,Imported,Imported,Toyota Highlander 2020 Black,,,,,,
"₦ 72,800,000",Petrol,Automatic,Mercedes-Benz,GLE-Class,2018,Black,Foreign Used,137781,3500,Imported,Imported,Mercedes-Benz GLE-Class 2018 Black,,,,,,
